F1,F2,F3,F4,gender,marital_status,academic_year,academic_failure,age_group,degree_program,faculty_environment,home_environment
3.3333333333333335,4.0,3.0,2.5,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.0,3.6666666666666665,2.75,2.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in International Business,Satisfied,Yes
3.5,2.0,2.0,2.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Human Resource Management,Very satisfied,Yes
3.0,3.0,2.5,3.0,Male,Single,Year 4,Once or twice,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.8333333333333335,4.333333333333333,1.5,4.0,Male,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
4.666666666666667,3.6666666666666665,2.25,4.0,Female,Single,Year 4,Never,24-25,B.B.A. (Hons) in Business Economics,Neither satisfied nor dissatisfied,Yes
2.6666666666666665,1.3333333333333333,3.0,4.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.3333333333333335,3.3333333333333335,2.5,3.0,Female,Single,Year 4,Never,24-25,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.1666666666666665,3.0,2.25,3.5,Female,Single,Year 4,Once or twice,22-23,B.B.A. (Hons) in Business Economics,Satisfied,No
3.5,3.0,3.25,3.0,Female,Single,Year 4,Never,24-25,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.5,3.0,2.0,3.0,Female,Single,Year 4,Never,24-25,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.8333333333333335,2.6666666666666665,2.5,3.5,Female,Single,Year 4,Never,24-25,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.3333333333333335,3.0,3.0,3.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Satisfied,Yes
2.0,3.0,3.0,1.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Very satisfied,Yes
4.166666666666667,4.333333333333333,2.5,4.5,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Neither satisfied nor dissatisfied,Yes
2.6666666666666665,2.0,1.5,2.0,Female,Single,Year 4,Never,24-25,B.B.A. (Hons) in Business Economics,Satisfied,Yes
5.0,5.0,1.0,4.0,Female,Single,Year 4,Never,22-23,B.B.A. (Hons) in Business Economics,Very satisfied,Yes
