Timestamp,What is your gender?,What is your marital status?,Have you ever failed an academic course/module at university?,"How satisfied are you with your learning environment at the Faculty?
",Are you satisfied with your home environment for studying?,What is your Age?,What is your Academic Year?,What is your degree programme.,Competition with my peers for grades is quite intense,I feel my lecturers are very strict and often point out mistakes in my work,My lecturers expect more from me than I can realistically do.,The unrealistic expectations of my parents stress me out.,"The time allocated for lectures, laboratory sessions, and independent study is enough for me to manage my academic workload effectively.  ",The size of the curriculum (workload) is excessive.,I believe that the amount of work assignments is too much.,I am unable to catch up if I fall behind in my work.,I have enough time to relax after completing my academic work. ,The examination questions are usually difficult.,The allocated examination duration is too short for me to complete my answers properly.,Examination periods are very stressful to me.,I am confident that I will be a successful student. ,I am confident that I will be successful in my future career. ,I find it easy to make academic decisions. ,I fear failing courses/modules this year.,I think that my worry about examinations is weakness of character.,"Even if I pass my exams, I am worried about getting a job"
,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/2026 20:38:34,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,3,4,4,4,5,4,2,1,2,2,1,2,2,4,2,2,2
2/9/2026 20:58:35,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in International Business,3,4,4,4,3,3,3,3,4,3,3,3,2,2,4,2,3,2
2/9/2026 21:27:48,Female,• Single,• Never,Very satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Human Resource Management,4,4,4,4,1,1,3,3,2,3,3,2,2,3,2,4,5,3
2/10/2026 14:58:19,Male,• Single,• Once or twice,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,3,3,3,4,2,5,3,1,1,3,4,1,2,3,2,4,3
2/10/2026 14:58:21,Male,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,1,2,2,1,2,2,2,3,2,2,2,2,1,2,1,2,2,1
2/10/2026 14:58:23,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 24–25,• Year 4,B.B.A. (Hons) in Business Economics,2,3,1,4,3,1,1,2,3,1,2,1,2,2,2,1,4,2
2/10/2026 14:58:28,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,3,2,2,3,3,3,4,3,3,4,4,2,2,2,5,5,5,4
2/10/2026 14:58:37,Female,• Single,• Never,Satisfied,• Yes,• 24–25,• Year 4,B.B.A. (Hons) in Business Economics,3,3,3,3,2,2,2,4,2,3,2,3,2,3,3,3,3,2
2/10/2026 14:58:44,Female,• Single,• Once or twice,Satisfied,• No,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,2,3,2,2,2,3,3,3,3,3,3,2,2,3,3,3,3
2/10/2026 14:58:47,Female,• Single,• Never,Satisfied,• Yes,• 24–25,• Year 4,B.B.A. (Hons) in Business Economics,3,3,3,3,3,2,3,3,3,2,2,3,3,3,4,3,3,3
2/10/2026 14:58:52,Female,• Single,• Never,Satisfied,• Yes,• 24–25,• Year 4,B.B.A. (Hons) in Business Economics,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,3,3,3
2/10/2026 14:58:57,Female,• Single,• Never,Satisfied,• Yes,• 24–25,• Year 4,B.B.A. (Hons) in Business Economics,1,3,2,4,3,2,2,3,3,2,2,2,2,2,3,4,3,3
2/10/2026 14:58:59,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,3,3,3,4,2,3,2,3,3,2,3,3,4,3,3,3,3,3
2/10/2026 14:59:00,Female,• Single,• Never,Very satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,4,5,5,4,3,2,3,4,1,5,5,5,3,3,3,3,3,3
2/10/2026 14:59:06,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,1,2,4,3,2,3,2,3,2,1,1,1,1,5,2,2,1
2/10/2026 14:59:09,Female,• Single,• Never,Satisfied,• Yes,• 24–25,• Year 4,B.B.A. (Hons) in Business Economics,5,4,4,5,2,4,4,4,2,2,4,2,2,1,1,4,4,4
2/10/2026 14:59:11,Female,• Single,• Never,Very satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/10/2026 14:59:11,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,3,2,5,5,2,1,2,3,1,1,1,2,2,3,1,3,2
2/10/2026 14:59:19,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Administration,3,1,1,5,2,2,1,1,3,2,2,3,1,3,3,2,2,2
2/10/2026 14:59:21,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3
2/10/2026 14:59:23,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,3,3,3,4,1,4,3,4,2,3,3,1,2,3,2,3,3,3
2/10/2026 14:59:26,Male,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2/10/2026 14:59:30,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,4,4,5,2,3,3,4,3,2,4,2,2,2,2,4,4,2
2/10/2026 14:59:35,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,3,3,5,2,4,2,5,1,3,3,2,2,3,2,5,3,1
2/10/2026 14:59:36,Male,• Single,• Never,Very satisfied,• No,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,3,3,3,1,4,4,4,2,3,4,4,2,1,3,2,2,4
2/10/2026 14:59:40,Male,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,3,3,1,3,3,3,3,4,3,3,3,3,3,3,4,4,3
2/10/2026 14:59:49,Female,• Single,• Never,Satisfied,• Yes,• 24–25,• Year 4,B.B.A. (Hons) in Business Economics,4,1,2,5,3,1,1,1,3,1,3,1,1,1,1,5,3,1
2/10/2026 14:59:55,Female,• Single,• Never,Very satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,4,4,4,2,2,3,3,3,3,3,3,2,3,2,3,3,3
2/10/2026 14:59:57,Female,• Single,• Never,Satisfied,• Yes,• Above 25,• Year 4,B.B.A. (Hons) in Business Economics,1,2,2,1,1,1,1,3,1,3,2,1,1,1,1,4,2,1
2/10/2026 14:59:58,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,3,3,2,4,2,1,2,3,4,2,3,1,2,3,3,1,2,1
2/10/2026 14:59:59,Female,• Single,• Once or twice,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,1,2,1,4,3,2,2,2,3,2,2,1,2,2,2,2,2,2
2/10/2026 15:00:29,Female,• Single,• Never,Neither satisfied nor dissatisfied,• Yes,• 24–25,• Year 4,B.B.A. (Hons) in Business Economics,3,2,3,4,3,2,1,4,2,2,3,2,2,2,2,3,3,2
2/10/2026 15:00:33,Female,• Single,• Once or twice,Very satisfied,• Yes,• 24–25,• Year 4,B.B.A. (Hons) in Business Economics,2,3,2,2,1,2,3,3,1,4,3,2,2,1,2,2,1,1
2/10/2026 15:00:33,Male,• Single,• Never,Satisfied,• Yes,• 24–25,• Year 4,B.B.A. (Hons) in Business Economics,5,3,2,3,2,2,3,5,2,4,3,3,2,2,2,5,5,2
2/10/2026 15:00:34,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,5,1,1,1,2,1,3,2,4,3,3,1,2,2,4,1,1,1
2/10/2026 15:00:35,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,4,4,2,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2
2/10/2026 15:00:36,Female,• Single,• Once or twice,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Finance,2,4,3,3,3,3,3,3,2,2,4,3,2,3,3,3,3,2
2/10/2026 15:01:09,Male,• Single,• Never,Satisfied,• Yes,• 24–25,• Year 4,B.B.A. (Hons) in Business Economics,5,2,2,5,3,1,2,2,2,3,2,1,1,1,3,2,2,5
2/10/2026 15:01:18,Male,• Single,• Never,Satisfied,• Yes,• 24–25,• Year 3,B.B.A. (Hons) in Business Economics,4,2,2,4,2,2,2,2,2,3,2,2,2,2,3,2,2,2
2/10/2026 15:01:28,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,1,1,3,3,2,3,3,3,1,2,2,2,2,2,2,3,2
2/10/2026 15:01:47,Female,• Single,• Once or twice,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,3,3,4,2,2,3,4,4,1,4,3,1,1,2,3,1,4,1
2/10/2026 15:02:12,Male,• Single,• Never,Satisfied,• No,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,1,2,5,4,1,1,1,5,2,3,1,1,1,1,2,2,2
2/10/2026 15:02:19,Female,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,3,3,3,5,2,3,3,3,3,2,3,1,2,3,3,4,3,2
2/10/2026 15:03:18,Female,• Single,• Once or twice,Satisfied,• No,• 24–25,• Year 4,B.B.A. (Hons) in Business Economics,4,5,3,5,3,3,3,3,4,2,3,1,2,3,3,3,3,3
2/10/2026 15:04:00,Male,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,2,2,3,2,3,3,2,3,2,3,2,2,3,2,3,2,2,3
2/10/2026 15:06:19,Male,• Single,• Never,Satisfied,• Yes,• 22–23,• Year 4,B.B.A. (Hons) in Business Economics,4,4,3,5,2,3,3,3,2,2,3,3,1,1,2,4,4,4
2/10/2026 15:59:13,Male,• Single,• Never,Very satisfied,• No,• 20–21,• Year 4,B.B.A. (Hons) in Finance,2,4,4,5,2,5,1,5,2,5,5,5,5,5,5,5,5,5
