Cluster,gender,academic_year,age_group,degree_program,home_environment,academic_failure,faculty_environment,F1,F2,F3,F4
1,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.333333333333333,4.0,3.0,2.5
1,Female,Year 4,22-23,B.B.A. (Hons) in International Business,Yes,Never,Satisfied,3.0,3.6666666666666665,2.75,2.0
2,Female,Year 4,22-23,B.B.A. (Hons) in Human Resource Management,Yes,Never,Very satisfied,3.5,2.0,2.0,2.0
2,Male,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Once or twice,Satisfied,3.0,3.0,2.5,3.0
0,Male,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.8333333333333335,4.333333333333333,1.5,4.0
0,Female,Year 4,24-25,B.B.A. (Hons) in Business Economics,Yes,Never,Neither satisfied nor dissatisfied,4.666666666666667,3.6666666666666665,2.25,4.0
2,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,2.6666666666666665,1.3333333333333333,3.0,4.0
2,Female,Year 4,24-25,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.333333333333333,3.333333333333333,2.5,3.0
2,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,No,Once or twice,Satisfied,3.1666666666666665,3.0,2.25,3.5
1,Female,Year 4,24-25,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.5,3.0,3.25,3.0
2,Female,Year 4,24-25,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.5,3.0,2.0,3.0
2,Female,Year 4,24-25,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.8333333333333335,2.6666666666666665,2.5,3.5
2,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.333333333333333,3.0,3.0,3.0
2,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Very satisfied,2.0,3.0,3.0,1.0
0,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Neither satisfied nor dissatisfied,4.166666666666667,4.333333333333333,2.5,4.5
2,Female,Year 4,24-25,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,2.6666666666666665,2.0,1.5,2.0
0,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Very satisfied,5.0,5.0,1.0,4.0
0,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Neither satisfied nor dissatisfied,4.666666666666667,4.0,3.0,3.5
0,Female,Year 4,22-23,B.B.A. (Hons) in Business Administration,Yes,Never,Neither satisfied nor dissatisfied,4.166666666666667,4.0,2.25,5.0
2,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Neither satisfied nor dissatisfied,3.0,3.0,2.5,3.0
2,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.0,3.0,2.0,3.0
2,Male,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.0,3.0,3.0,2.5
2,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.0,2.6666666666666665,2.0,2.0
2,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,2.833333333333333,3.0,2.25,3.0
2,Male,Year 4,22-23,B.B.A. (Hons) in Business Economics,No,Never,Very satisfied,2.1666666666666665,3.333333333333333,1.75,3.0
2,Male,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.0,2.333333333333333,3.0,3.0
0,Female,Year 4,24-25,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,4.666666666666667,3.0,1.5,4.5
2,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Very satisfied,3.1666666666666665,3.0,2.25,2.0
0,Female,Year 4,26 and above,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,4.166666666666667,3.6666666666666665,1.0,4.0
0,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,4.0,4.666666666666667,2.5,3.5
0,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Once or twice,Satisfied,4.166666666666667,4.0,2.25,4.5
2,Female,Year 4,24-25,B.B.A. (Hons) in Business Economics,Yes,Never,Neither satisfied nor dissatisfied,3.6666666666666665,3.333333333333333,2.25,3.5
0,Female,Year 4,24-25,B.B.A. (Hons) in Business Economics,Yes,Once or twice,Very satisfied,3.1666666666666665,4.666666666666667,1.5,3.5
2,Male,Year 4,24-25,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,2.6666666666666665,2.0,2.0,3.5
0,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.8333333333333335,5.0,2.5,5.0
0,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,4.0,4.0,1.75,3.0
2,Female,Year 4,22-23,B.B.A. (Hons) in Finance,Yes,Once or twice,Satisfied,3.0,3.333333333333333,2.75,2.5
0,Male,Year 4,24-25,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,4.166666666666667,3.0,2.0,4.0
0,Male,Year 3,24-25,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.8333333333333335,4.0,2.25,4.0
0,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.8333333333333335,3.6666666666666665,2.25,5.0
2,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Once or twice,Satisfied,2.833333333333333,4.0,2.0,2.5
0,Male,Year 4,22-23,B.B.A. (Hons) in Business Economics,No,Never,Satisfied,4.5,4.0,1.75,4.5
2,Female,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.5,3.0,2.5,3.0
1,Female,Year 4,24-25,B.B.A. (Hons) in Business Economics,No,Once or twice,Satisfied,3.5,3.0,2.75,2.0
2,Male,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.5,3.6666666666666665,2.75,3.5
2,Male,Year 4,22-23,B.B.A. (Hons) in Business Economics,Yes,Never,Satisfied,3.1666666666666665,2.0,1.5,2.5
2,Male,Year 4,20-21,B.B.A. (Hons) in Finance,No,Never,Very satisfied,1.6666666666666667,1.0,4.25,2.0
2,Male,Year 2,22-23,,Yes,Never,Very satisfied,3.0,3.333333333333333,1.75,4.0
0,Male,Year 2,22-23,,Yes,Never,Satisfied,4.166666666666667,4.0,2.0,4.5
2,Female,Year 2,22-23,,Yes,Never,Neither satisfied nor dissatisfied,3.0,3.0,3.0,3.0
2,Male,Year 2,22-23,,No,Never,Satisfied,2.0,2.333333333333333,4.0,2.5
2,Male,Year 2,20-21,,Yes,Once or twice,Neither satisfied nor dissatisfied,2.5,3.0,2.75,3.5
0,Female,Year 2,20-21,,Yes,Never,Satisfied,4.0,4.666666666666667,1.25,3.5
2,Female,Year 2,20-21,,Yes,Never,Neither satisfied nor dissatisfied,3.1666666666666665,2.333333333333333,2.5,3.0
2,Female,Year 2,20-21,,Yes,Never,Satisfied,3.0,2.6666666666666665,3.25,4.0
1,Female,Year 2,22-23,,Yes,Never,Very dissatisfied,3.333333333333333,3.6666666666666665,3.75,3.0
2,Female,Year 2,20-21,,Yes,Never,Satisfied,3.5,2.0,1.5,1.5
2,Female,Year 2,22-23,,Yes,Never,Dissatisfied,3.1666666666666665,3.6666666666666665,1.25,3.0
2,Female,Year 2,22-23,,Yes,Never,Dissatisfied,2.6666666666666665,3.0,3.5,3.0
2,Female,Year 2,22-23,,Yes,Never,Very satisfied,3.1666666666666665,3.0,3.0,3.0
2,Male,Year 2,22-23,,Yes,Never,Satisfied,3.333333333333333,3.0,3.0,3.0
2,Female,Year 2,22-23,,No,Never,Dissatisfied,3.5,3.333333333333333,2.0,3.5
1,Male,Year 2,20-21,,Yes,Never,Satisfied,3.333333333333333,2.6666666666666665,3.5,2.0
